SampleID,SampleType,Study,A.clavatus,A.fumigatus,A.glaucus,A.heteromorphus,A.mulundensis,A.niger,A.novofumigatus,A.steynii,A.nidulans,A.terreus,A.pseudoglaucus,A.aculeatinus,A.awamori,A.welwitschiae,Aureobasidium.pullulans,Cercospora.beticola,Zasmidium.cellare,Acidomyces.richmondensis,Coniosporium.apollinis,Dothidotthia.symphoricarpi,Parastagonospora.nodorum,Pyrenophora.teres,Pyrenophora.tritici.repentis,Exophiala.xenobiotica,Penicillium.arizonense,Penicillium.digitatum,Byssochlamys.spectabilis,Talaromyces.pinophilus,Hyaloscypha.bicolor,Botrytis.cinerea,Candida.parapsilosis,Clavispora.lusitaniae,Kluyveromyces.marxianus,Trichoderma.asperellum,Trichoderma.atroviride,Phaeoacremonium.minimum,Taphrina.deformans,Agaricus.bisporus,Hebeloma.cylindrosporum,Tricholomella.constricta,Armillaria.ostoyae,Pleurotus.ostreatus,Schizophyllum.commune,Paxillus.involutus,Serpula.lacrymans,Gloeophyllum.trabeum,Neolentinus.lepideus,Postia.placenta,Grifola.frondosa,Phlebia.radiata,Fibroporia.radiculosa,Polyporus.grammocephalus,Trametes.hirsuta,Trametes.versicolor,Heterobasidion.irregulare,Stereum.hirsutum,Tilletiopsis.washingtonensis,Acaromyces.ingoldii,Pseudomicrostroma.glucosiphilum,Malassezia.globosa,Malassezia.restricta,Malassezia.sympodialis,Puccinia.triticina,Wallemia.mellicola,Rhizophagus.irregularis,Aureobasidium.namibiae,Candida.dubliniensis,Candida.orthopsilosis,Millerozyma.farinosa,Spathaspora.passalidarum,Cyberlindnera.jadinii,Dichomitus.squalens,Meira.miltonrushii,Coprinopsis.cinerea,Ganoderma.boninense,Kockovaella.imperatae,Lasiodiplodia.theobromae,Wolfiporia.cocos,Corynespora.cassiicola,Bipolaris.maydis,Bipolaris.oryzae,Bipolaris.sorokiniana,Penicillium.oxalicum,Pestalotiopsis.fici,Trichosporon.asahii,Pseudozyma.hubeiensis
HMSP1545,Indoor air,Singapore,0,0.0407042,0.3866897,0,0,0,0,0.1831688,0.1119365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1119365,0,0,0,0.1424646,0,0,1.780808,0,0,0,0,58.9600081,0,2.0555612,0,0,2.7882365,3.795665,0,0,0,0,2.6966521,0,0,0,0,0,0.1831688,0.6919711,0.1729928,0,0.1628167,0,0,0,0,0,0,0,19.8432889,0,3.0324616,2.5236593,0.3358095,0,0,0,0,0,0,0,0,0,0
HMSP1546,Outdoor air,Singapore,0,0.103584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5848353,0,0,0,0,57.8827429,0,2.2063393,0,0,3.231821,3.6047234,0,0,0,0,2.2892065,0,0,0,0,0,0.2693184,0.725088,0,0,1.4398177,0,0,0,0.0414336,0,0,0,19.6188109,0,2.9003522,2.1131137,0,0.0932256,1.8955873,0,0,0,0,0,0,0,0
HMSP1547,Surfaces,Singapore,0.4147227,0.3888025,0.622084,0.6998445,0,28.4085018,0,0.9849663,0.2592017,0,0.311042,0.0259202,3.8621047,3.4733022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4147227,0,0,0,0,0,0,0,0,0,0,0,16.0186625,0,0,0,0,1.3737688,2.4105754,0,0,0,0,1.3219285,0,0,0,0.155521,0.4147227,0.7516848,6.2986003,0.2592017,0,0,0,0,0,0.2592017,0,0,0,7.9315708,0,5.935718,1.2960083,0,0.622084,0.9849663,2.7216174,0.6739243,0.5961638,0.466563,0.4924832,8.5795749,0.4406428,0.1296008
HMSP1551,Indoor air,Singapore,0,0.4987531,3.2574813,0,0,0,0,1.6209476,0.5766833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1091022,0,0,0,0.0467581,0,0,2.7743142,0,0,0,0,4.5043641,0,4.457606,0,0,4.925187,7.7306733,0,0,0,0,5.0966334,0,0,0,0,0,3.9120948,9.2113466,0.5766833,0,0.2961347,0,0,0,0,0,0,0,41.8952618,0,3.3354115,4.7069825,0.467581,0,0,0,0,0,0,0,0,0,0
HMSP1552,Outdoor air,Singapore,0,0.2892031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9280206,0,0,0,0,5.1895887,0,4.964653,0,0,5.7840617,7.1336761,0,0,0,0,6.0571979,0,0,0,0,0,0.3695373,0.5302057,0,0,0.2088689,0,0,0,0.0160668,0,0,0,52.2493573,0,3.3419023,5.8001285,0,0.4659383,5.6715938,0,0,0,0,0,0,0,0
HMSP1553,Surfaces,Singapore,2.3038787,0.8165646,8.967629,1.4581511,0,0.3353747,0,6.7512394,2.9600467,0,1.8372703,0.0874891,0.0874891,0.1166521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3791193,0,0,0,0,0,0,0,0,0,0,0,30.3295421,0,0,0,0,2.4205308,2.6246719,0,0,0,0,1.6477107,0,0,0,0.1749781,0.3791193,4.855643,12.962963,0.9477982,0,0,0,0,0,0.1895596,0,0,0,9.4634004,0,1.6477107,1.4144065,0,0.3937008,1.341499,0.4666083,0.1895596,0.058326,0.0729076,0.5832604,1.3560805,0.1603966,0.2187227
HMSP1593,Indoor air,Singapore,0,0.2247612,0.2809515,0,0,0,0,0.5431729,0.187301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561903,0,0,0,0.1498408,0,0,2.4911032,0,0,0,0,2.828245,0,3.6336393,0,0,5.3006181,8.4660049,0,0,0,0,6.7802959,0,0,0,0,0,2.0228507,5.7876007,1.5733283,0,0.4307923,0,0,0,0,0,0,0,46.9188987,0,5.1320472,6.9675969,0.2247612,0,0,0,0,0,0,0,0,0,0
HMSP1594,Outdoor air,Singapore,0,0.1051967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9987376,0,0,0,0,2.1670524,0,2.7351147,0,0,5.1125605,7.2375342,0,0,0,0,6.9429834,0,0,0,0,0,0.3576688,1.5358721,0,0,0.4839049,0,0,0,0.0420787,0,0,0,52.2196507,0,6.8377867,6.248685,0,0.9046918,5.0704818,0,0,0,0,0,0,0,0
HMSP1595,Surfaces,Singapore,0.6882771,0.3996448,0.777087,0.777087,0,3.9076377,0,0.7326821,0.1998224,0,0.1110124,2.7531083,1.7539964,1.5541741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888099,0,0,0,0,0,0,0,0,0,0,0,6.5053286,0,0,0,0,1.7095915,2.3534636,0,0,0,0,2.3756661,0,0,0,0.4884547,0.5106572,2.2646536,9.3694494,2.1980462,0,0,0,0,0,0.0222025,0,0,0,17.6065719,0,1.7095915,3.7744227,0,0.4662522,1.5097691,1.2433393,2.3756661,1.4875666,1.9982238,18.9165187,6.8161634,0.3108348,0.2442274
HMSP1598,Indoor air,Singapore,0,0.2783362,0.8659347,0,0,0,0,0.4638936,0.2937993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3194681,0,0,0,0.0618525,0,0,0.6339879,0,0,0,0,1.0669553,0,1.1442709,0,0,2.2576156,2.7524354,0,0,0,0,1.9174269,0,0,0,0,0,23.3493119,47.6109479,1.407144,0,0.1546312,0,0,0,0,0,0,0,11.2107623,0,0.5566723,1.3916808,0.262873,0,0,0,0,0,0,0,0,0,0
HMSP1599,Outdoor air,Singapore,0,0.1581563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0786263,0,0,0,0,2.9371893,0,4.3605965,0,0,5.4676909,8.4048803,0,0,0,0,6.8459105,0,0,0,0,0,0.1129688,0.0677813,0,0,0.384094,0,0,0,0,0,0,0,50.2485314,0,6.2810664,6.4392228,0,0.9489381,5.264347,0,0,0,0,0,0,0,0
HMSP1600,Surfaces,Singapore,0.1165773,0.1865237,0.862672,0.3730473,0,13.9193285,0,0.3730473,0.2098391,0,0.1398927,1.4921893,7.530893,6.5050128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7486594,0,0,0,0,0,0,0,0,0,0,0,1.1890884,0,0,0,0,0.0699464,0.2797855,0,0,0,0,0.0932618,0,0,0,0.1865237,0.1165773,16.740499,36.6052693,0.7227792,0,0,0,0,0,0.5828865,0,0,0,1.0025647,0,0.0932618,0,0,3.8470506,0.1165773,0.559571,1.4455584,0.816041,1.2823502,0.1165773,0.1632082,0.2331546,0.2797855
HMSP1603,Indoor air,Singapore,0,0.7005254,4.7285464,0,0,0,0,3.6777583,1.4594279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4086398,0,0,0,0,0,0,2.1015762,0,0,0,0,0.7005254,0,3.502627,0,0,5.0788091,9.9241097,0,0,0,0,5.1955633,0,0,0,0,0,3.4442499,24.7518973,0.9340339,0,0.1751313,0,0,0,0,0,0,0,25.2189142,0,2.6269702,5.3123176,0.0583771,0,0,0,0,0,0,0,0,0,0
HMSP1604,Outdoor air,Singapore,0,0.4340487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712081,0,0,0,0,2.1943574,0,3.4482759,0,0,5.666747,8.4157222,0,0,0,0,8.0057873,0,0,0,0,0,1.6156258,1.6156258,0,0,0.6751869,0,0,0,0.1929105,0,0,0,46.4673258,0,3.9305522,7.8611044,0,0.6028454,7.1618037,0,0,0,0,0,0,0,0
HMSP1605,Surfaces,Singapore,3.0965392,1.6393443,6.9216758,2.4590164,0,2.0947177,0,7.3770492,2.276867,0,1.9125683,0.273224,0.9107468,0.273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3642987,0,0,0,0,0,0,0,0,0,0,0,6.010929,0,0,0,0,2.276867,2.5500911,0,0,0,0,1.3661202,0,0,0,0.4553734,0.6375228,7.7413479,18.3060109,1.0928962,0,0,0,0,0,1.0018215,0,0,0,9.2896175,0,4.7358834,1.1839709,0,1.0928962,2.9143898,1.3661202,0.6375228,0.5464481,0.6375228,3.0965392,3.0965392,0.1821494,0.1821494
HMSP1635,Indoor air,Singapore,0,0.3687769,1.2907191,0,0,0,0,2.3970498,1.2292563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5531653,0,0,0,0.4917025,0,0,1.6287646,0,0,0,0,2.8272895,0,1.8746159,0,0,3.7799631,6.6687154,0,0,0,0,8.5433313,0,0,0,0,0,4.14874,6.637984,5.7160418,0,1.4751076,0,0,0,0,0,0,0,40.1044868,0,1.7824216,8.0208974,0.4609711,0,0,0,0,0,0,0,0,0,0
HMSP1636,Outdoor air,Singapore,0,0.3156566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020202,0,0,0,0,2.3989899,0,2.020202,0,0,6.1868687,9.0277778,0,0,0,0,10.7007576,0,0,0,0,0,2.6515152,4.5138889,0,0,2.209596,0,0,0,0.3156566,0,0,0,41.5088384,0,2.3358586,7.2285354,0,0.3472222,6.2184343,0,0,0,0,0,0,0,0
